행,국문 회사명,기존 스테이지,최신 스테이지,반영 여부,신뢰도,근거,출처 URL,비고
375,쿼리파이,Pre-A,Seed,미반영(근거 부족),medium,"2021.12 210억 규모 '프리퍼드 시리즈 시드' 라운드 (플래텀), 2024.3~5 세일즈포스벤처스·ZVC·신한벤처투자 전략투자로 누적 332억 (와우테일)",https://wowtale.net/2024/03/04/72838/,2024년 투자는 라운드명 없는 전략적 투자(SI)라 정식 시리즈 명칭은 Seed가 최신. 구 사명 체커(CHEQUER)
380,스튜디오씨드,Series C,Series B,반영,high,"2025.1 LB인베스트먼트·산업은행 주도 300억 시리즈B 유치, 누적 500억 돌파 (한경/인베스트뉴스)",https://www.hankyung.com/article/202501223614i,"최신 라운드(2025.1, 300억)가 언론에 '시리즈B'로 명시되어 기존 기록 Series C가 과대 기재로 보임"
384,비트바이트,Pre-A,Pre-A,변경 없음,medium,"2023.2 딜라이트룸 전략적 투자(라운드명 미공개)가 마지막, 누적 약 21.4억 (머니투데이/THE VC)",https://thevc.kr/bitbyte,
389,탈잉,Series B,Series B,변경 없음,high,"THE VC 기준 최신 라운드 Series B(약 2021), 이후 신규 투자 유치 없음",https://thevc.kr/taling,마지막 투자 유치가 5년 이상 경과
393,마블러스,Series A,Series A,변경 없음,medium,"2020.12 대교 등 시리즈A(누적 85억)가 최신, 이후 후속 라운드 보도 없음 (THE VC/기업 IR)",https://thevc.kr/marvrus,
394,제로엑스플로우,Series A,Series A,변경 없음,high,"2023 하나벤처스 리드 35억 시리즈A 유치 (플래텀), 이후 후속 라운드 보도 없음",https://platum.kr/archives/218017,AI 영어 코스웨어 '원아워(1hour)' 운영사
399,에피소든,Series A,Series A,변경 없음,high,2024.8 쿠팡 주도 45억 시리즈A 유치 (플래텀/머니투데이),https://platum.kr/archives/233509,
401,한국교육파트너스 주식회사,Seed,Seed,변경 없음,high,2024.9 스마일게이트인베스트먼트·울산창조경제혁신센터 6억 시드 유치 (플래텀),https://platum.kr/archives/235311,"2025.9 입시컨설팅 '리베션'을 인수(피인수 아님, 와우테일)"
402,더블유쓰리컴퍼니,Seed,Seed,변경 없음,high,"THE VC 기준 최신 라운드 Seed(약 2025), 이후 시리즈 라운드 보도 없음",https://thevc.kr/w3company,언어교환 앱 '모지(Moji)' 운영사
403,미션드리븐,Seed,Seed,변경 없음,high,2025.2 MYSC로부터 두 번째 시드 투자 유치 (플래텀/와우테일),https://platum.kr/archives/252013,"중장년 커뮤니티 플랫폼 '큐리어스' 운영사, 프라이머 초기투자 포함 시드 단계"
404,하와이컴퍼니,Seed,Seed,변경 없음,medium,2023.11 시드 유치(인포뱅크·경기창조경제혁신센터·파인드어스) 후 2023.12 그랜드벤처스 시드 추가 투자 (플래텀),https://platum.kr/archives/219987,"THE VC 기준 투자 3건·최근 라운드 존재 가능성 있으나 라운드명 미공개, 시리즈 라운드 근거 없음"
405,더자람컴퍼니,Seed,Seed,변경 없음,medium,"그로우앤베터 운영사, 7억원 시드 투자 유치(미래과학기술지주·인포뱅크·마크앤컴퍼니·넥스트랜스) (데이터넷)",https://www.datanet.co.kr/news/articleView.html?idxno=171119,2024년 이후 추가 라운드 보도 확인 안 됨
406,필로토,Seed,Seed,변경 없음,medium,"삼성전자 C랩 스핀오프, 삼성벤처투자(SVIC)로부터 첫 투자 유치, 2022.5 디캠프 디데이 우승 (서울경제/지디넷)",https://sedaily.com/NewsView/26DQL6923P,시리즈 라운드 유치 완료 보도 없음. 어린이 스마트기기 습관 교육 '타키' 운영
407,문다,Seed,Seed,변경 없음,medium,"유초등 악기 레슨 O2O '문다', 디캠프·VNTG·부엉이벤처스 시드 투자 유치 (플래텀)",https://platum.kr/archives/179553,이후 추가 라운드 보도 확인 안 됨
408,맞추다,Seed,Seed,변경 없음,medium,"자격증 CBT 에듀테크 '맞추다', 디캠프·문라이트파트너스 시드 투자 및 TIPS 선정 (인베스트뉴스)",https://www.investnews.co.kr/news/articleView.html?idxno=2677256,시드 이후 시리즈 라운드 보도 없음
409,모킹버드,Seed,Seed,변경 없음,high,"AI 수능 모의고사 '모킹버드', 카이스트청년창업투자지주·한국투자액셀러레이터·디캠프 시드 투자 유치 (비석세스)",https://www.besuccess.com/ai-%EC%88%98%EB%8A%A5-%EB%8C%80%EB%B9%84-%EB%A7%9E%EC%B6%A4%ED%98%95-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%AA%A8%ED%82%B9%EB%B2%84%EB%93%9C-%EC%8B%9C%EB%93%9C/,
415,어브로딘,Pre-A,Pre-A,변경 없음,low,확인 불가 — THE VC에 투자 4건 기록되나 최근(2024~) 라운드명 공개 보도 없음,https://thevc.kr/Abroadin,"유학 플랫폼 '뉴학' 운영사, 현재 himeme 서비스 운영. Pre-A 이후 라운드 근거 없음"
416,트이다,Pre-A,Series A,반영,high,2025년 JB인베스트먼트로부터 20억원 시리즈A 투자 유치 완료 (인베스트뉴스/매일일보),https://www.investnews.co.kr/news/articleView.html?idxno=3001730,"한국어 회화 앱 1위, 시리즈A로 글로벌 다국어 회화 앱 확장"
417,아테나스랩,Pre-A,Pre-A,변경 없음,high,"2021.8 한국투자파트너스·스톤브릿지벤처스 등 7개사로부터 35억 프리시리즈A 유치, 이후 신규 라운드 보도 없음 (한국경제)",https://www.hankyung.com/article/202108260203i,'오늘학교' 운영사
418,테스트뱅크,Pre-A,Pre-A,변경 없음,high,2024.3 신한캐피탈·퀀텀벤처스코리아 등으로부터 23억원 프리시리즈A 투자 유치 (와우테일),https://wowtale.net/2024/03/13/73455/,디지털 참고서 '쏠브' 운영사
421,학생독립만세,M&A('21),M&A('21),변경 없음,high,"코드스테이츠가 소득공유(ISA) 교육 강화 위해 학생독립만세 100% 인수 (2021, 테크월드)",https://www.epnc.co.kr/news/articleView.html?idxno=212493,
422,피스오브무드,Angel,Seed,미반영(근거 부족),low,"공개된 투자 이력 약 4,196만원+ 소규모 초기(엔젤/시드) 투자만 확인, 신규 라운드 보도 없음 (넥스트유니콘/질링크스)",https://www.nextunicorn.kr/company/b6fc6e8e7b754136,"택소노미상 Angel→Seed로 표기 정규화한 것으로, 새 라운드 발견은 아님. IT 프로젝트 플랫폼 '넘블' 운영"
427,(주)티밸류와이즈,M&A,M&A,변경 없음,low,"확인 불가 — M&A 관련 보도 미발견, THE VC 기준 2023.11 폐업 처리 (THE VC)",https://thevc.kr/tvaluewise,"폐업(2023.11) 표기됨. 강사 리뷰 플랫폼 '별별선생' 운영사, 2019 카카오벤처스 10억 투자 이력. M&A 연도 확인 불가하여 연도 미기재"
428,잼이지,,알 수 없음,미반영(근거 부족),low,확인 불가 — 2015 삼성 C랩 스핀오프 및 대구창조경제혁신센터 보육 지원 외 VC 라운드 보도 없음,https://www.venturesquare.net/747060,"바이올린 스마트 학습 디바이스 개발사, 최근 활동/투자 뉴스 부재"
430,오누이,Series A,Series A,변경 없음,high,"2021.11 스트롱벤처스·KB인베스트먼트 등 140억 시리즈A 유치, 이후 시리즈B 보도 없음 (플래텀)",https://platum.kr/archives/175240,"온라인 과외 '설탭' 운영사, 누적 투자 약 160억"
435,(주)베이비프렌즈,Pre-A,Pre-A,변경 없음,medium,"2017 카카오벤처스 등 6억·TIPS, 2018 신한카드·신한퓨처스랩 전략투자 이후 신규 라운드 확인 안 됨 (플래텀)",https://platum.kr/archives/100454,2024년 이후 투자 소식 없음
437,하이퍼그로스,알 수 없음,알 수 없음,변경 없음,medium,"2022.9 '투자 유치 없이 3배 성장' 보도 — 무투자 부트스트랩 경영, 투자 라운드 없음 (전자신문)",https://www.etnews.com/20220901000224,"설립 첫해부터 흑자, 의도적으로 외부 투자 미유치"
438,테이크원컴퍼니,Series D,Series D,변경 없음,medium,"누적 투자 500억(2024.12 추가 라운드 포함), 신영증권 주관 코스닥 상장 준비 중 — 상장 완료 확인 안 됨 (뉴스톱)",https://www.newstopkorea.com/news/articleView.html?idxno=23051,"IPO 예정(코스닥 준비 중), 2026.7 현재 상장 미확인"
446,툰스퀘어,Series A,Series A,변경 없음,medium,"2022.7 시리즈A 유치(IPX·씨앤투스·앤파트너스, 기업가치 390억) 이후 시리즈B 미확인 (플래텀)",https://platum.kr/archives/192857,시리즈B는 목표 단계로만 언급됨 (2025 한국경제TV)
447,오늘의웹툰,Series A,Pre-A,미반영(근거 부족),medium,"2022.8 프리시리즈A 21억 유치(캡스톤·라구나·크릿·디캠프·베이스, 누적 31억) — 이후 시리즈A 라운드 확인 안 됨 (플래텀)",https://platum.kr/archives/191475,"기존 기재 Series A의 근거를 찾지 못함, THE VC 최신 라운드도 프리A"
455,티슈오피스,Seed,Seed,변경 없음,medium,"THE VC 기준 투자 유치 1건, 최근 라운드 Seed — 이후 라운드 확인 안 됨",https://thevc.kr/tissueoffice,메타버스 플랫폼 쿤트라(KUNTRA) 운영
467,아들러,Pre-A,Pre-A,변경 없음,medium,2023.9 씨엔티테크로부터 투자 유치(금액 비공개) 이후 신규 라운드 확인 안 됨 (와우테일),https://wowtale.net/2023/09/22/63789/,
468,스티팝,Pre-A,Pre-A,변경 없음,medium,2020.5 스냅·스트롱벤처스 등 130만달러 프리시리즈A 유치 이후 신규 라운드 확인 안 됨 (와우테일),https://wowtale.net/2020/05/27/13645/,
469,리얼드로우,Pre-A,Series A,미반영(근거 부족),medium,"뉴스1 기사 '리얼드로우, 시리즈A 투자 유치' — 2023.12~2024.3 프리A(알토스벤처스 리드 22억) 이후 시리즈A 진행 (뉴스1)",https://www.news1.kr/industry/sb-founded/5338811,"기사 본문 접근 불가로 금액·일자 미확인, 제목상 시리즈A 명시"
472,마이뮤직테이스트,M&A('22),M&A('22),변경 없음,high,2022.3 컴투스가 지분 58.47% 인수·경영권 확보 (ZDNet Korea),https://zdnet.co.kr/view/?no=20220328101440,
474,핀즐,알 수 없음,Seed,"반영(공란 채움, medium)",medium,"2022.1 인터뷰 기준 엔젤투자 약 1억만 유치, 첫 기관(프리A) 라운드는 추진 중 단계 — 이후 기관 투자 확인 안 됨 (이코노미조선)",https://economychosun.com/site/data/html_dir/2022/01/17/2022011700011.html,엔젤투자만 확인되어 taxonomy상 Seed로 분류
475,스트림뮤직,알 수 없음,알 수 없음,변경 없음,medium,"2024.9 인터뷰 — 투자 유치 없이 자체 자금으로 운영 중, 향후 유치 계획만 언급 (ZDNet Korea)",https://zdnet.co.kr/view/?no=20240913163948,"무투자 운영, 디캠프 디데이 본선 진출 이력"
482,허니픽,,알 수 없음,미반영(근거 부족),low,확인 불가,,해외 스냅사진 촬영 매칭 서비스(honeypic.com)로 확인되나 투자 관련 보도 없음
489,주식회사 필름플레이스코리아,알 수 없음,알 수 없음,변경 없음,low,확인 불가,,"2019년 싱가포르 설립 촬영지 예약 플랫폼의 한국법인, 투자 라운드 보도 없음"
498,클레브레인,Seed,Seed,변경 없음,medium,"2023.10 국민대기술지주·디캠프 2.5억 시드 투자 및 팁스 협약, 프리시리즈A는 계획 단계 (와우테일)",https://wowtale.net/2023/10/24/65268/,프리A 유치 계획 언급 있었으나 완료 확인 안 됨
499,렌지드,Seed,Seed,변경 없음,high,"THE VC 기준 투자 1건·최근 단계 Seed (2022.3 플레이리스트 전략투자, 지분 4%)",https://thevc.kr/lenged,"네이버제트 지분 8% 보유, 이후 신규 라운드 확인 안 됨"
501,"Director Labs, Inc.",,알 수 없음,미반영(근거 부족),low,확인 불가,,미국 법인(EIN 형식 사업자번호)으로 추정되는 영상 프로덕션. 국내외 투자 유치 기록 검색되지 않음
503,인쇼츠,Seed,Seed,변경 없음,medium,"2024.10 시드 2억원 투자 유치 (넥스트라운드/THE VC, AI 디지털 PPL 솔루션)",https://thevc.kr/inshorts,"쿠팡플레이·tvN 드라마에 AI PPL 적용(2025), 시드 이후 신규 라운드 확인 안 됨"
504,브이피피랩,Series A,Series A,변경 없음,high,2024.12 시리즈A 투자 유치 - 제주창경센터·MYSC·스마일게이트인베스트먼트 (와우테일/유니콘팩토리),https://wowtale.net/2024/12/26/235244/,
507,아헤스,Seed,Series A,반영,high,"2026.5 시리즈A 총 110억 클로징 - 스틱벤처스 리드, 프렌드투자·패스파인더에이치 후속 (더벨/딜사이트)",https://www.thebell.co.kr/front/newsview.asp?key=202605151121509720103165,디캠프도 시리즈A 1차(60억)에 참여
510,(주)갭텍,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://wowtale.net/2025/09/15/247151/,"2025.9 디캠프 배치 4기 선발(최대 15억 투자 기회), 확정된 투자 라운드 기사 없음"
511,코코액션클럽,,알 수 없음,미반영(근거 부족),low,확인 불가,,투자 유치 관련 기사·DB 기록 검색되지 않음
513,(주)고퍼소프트,Seed,Seed,변경 없음,high,2024 스프링캠프 시드 투자 유치 및 TIPS 선정 (판교테크노밸리/THE VC 투자자 1개사),https://thevc.kr/gophersoft,
515,코워크위더스(주),Pre-A,Pre-A,변경 없음,high,2025.11 프리A 투자 유치 - 본엔젤스·알로이스벤처스 (머니투데이),https://www.mt.co.kr/future/2025/11/13/2025111313492949683,
516,메멘토,,알 수 없음,미반영(근거 부족),low,확인 불가,,"웰다잉 플래닝 서비스(개인사업자 추정), 투자 유치 기록 검색되지 않음"
517,주식회사 고이장례연구소,Series A,Series A,변경 없음,high,"2025.11 시리즈A 90억 유치(누적 119억) - 신한벤처투자 리드, 디캠프 참여 (전자신문/플래텀)",https://www.etnews.com/20251126000450,
519,이십사점오,Pre-A,Pre-A,변경 없음,high,2024.4 카이스트청년창업투자지주 프리A 후속투자 및 TIPS 선정 (디지털투데이),https://www.digitaltoday.co.kr/news/articleView.html?idxno=533004,슥삭/슈퍼패스 운영사
520,이벤터스,Pre-A,Pre-A,변경 없음,medium,"2019.7 스트롱벤처스 프리시리즈A 투자 유치 (플래텀), 이후 신규 라운드 확인 안 됨",https://platum.kr/archives/125078,2024년 BEP 달성하며 투자 없이 운영 중으로 보임
521,에스트데이,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://www.crunchbase.com/organization/est-day,"셀프웨딩 준비 서비스 EST.DAY(2017 설립)로 추정, Crunchbase 기준 영업종료(Closed) 표기. DB의 웹사이트(estaid.ai)는 상장사 이스트에이드로 동명이인 주의"
524,패션을부탁해,Seed,Seed,변경 없음,medium,스타일쉐어 4억 시드 전략투자 유치 (THE VC/로켓펀치),https://thevc.kr/pleasefashion,2019.10 폐업 상태로 확인됨
525,(주)위클리셔츠0529,Seed,Seed,변경 없음,medium,"2017년 케이큐브벤처스·디캠프 등 5억 시드 유치가 마지막, 2019년말경 서비스 종료 (플래텀/THE VC)",https://thevc.kr/Weeklyshirts0529,셔츠 정기배송 서비스 2019년말 폐업/서비스 종료로 확인됨
527,한국신용데이터,Series E ~,Series E ~,변경 없음,high,"2023.8 모간스탠리 택티컬밸류 1,000억 유치, 기업가치 1.3조 유니콘 — 이후 신규 라운드 없음 (플래텀)",https://thevc.kr/koreacreditdata,"2025년 연결매출 1,620억, IPO 준비 단계 언급"
530,에잇퍼센트,Series D,Series D,변경 없음,medium,"2024~2026년 신규 지분 라운드 확인 안 됨, 온투업 기관투자 연계 확장 중 (THE VC/이코노미스트)",https://thevc.kr/eightpercent,
532,자비스앤빌런즈,Series C,Series C,변경 없음,medium,"2022.3 300억 시리즈C 이후 완료된 신규 라운드 없음, 1,500억 프리IPO 유치 추진 중 (녹색경제신문)",https://www.greened.kr/news/articleView.html?idxno=340932,"Pre-IPO 추진 중(미완료), 2~3년 내 IPO 계획 보도(아시아투데이 2026.3)"
533,핀다,Series C,Series C,변경 없음,high,"2023.7 JB금융그룹·500글로벌 470억 시리즈C 유치, 이후 신규 라운드 없음 (핀다 뉴스룸)",https://www.post.finda.co.kr/news230727,
536,모인,Series B,Series B,변경 없음,high,"2022.3 172억 시리즈B 유치(누적 260억), 이후 신규 라운드 확인 안 됨 (플래텀)",https://platum.kr/archives/181806,
537,올라핀테크,Series B,Series B,변경 없음,high,"2025.1 KB국민카드 등 120억 시리즈B 유치, KB국민카드 2대주주 (플래텀/머니투데이)",https://platum.kr/archives/251384,
542,트레져러,Series A,Series A,변경 없음,high,2023 두나미스자산운용 참여 시리즈A 유치가 최신 (플래텀/THE VC),https://platum.kr/archives/205556,2026.4 창업도약패키지 선정 등 영업 지속 중
543,캐시멜로,Series A,Series A,변경 없음,high,"THE VC 기준 최근 라운드 Series A(투자 5건), 이후 신규 라운드 확인 안 됨",https://thevc.kr/cashmallow,
544,인포플러스,Series A,Series A,변경 없음,high,2022.10 60억 시리즈A + 2023.3 20억 시리즈A 브릿지(IBK기업은행 등)가 최신 (와우테일/플래텀),https://wowtale.net/2022/10/21/47537/,
555,바이올렛페이 주식회사,Seed,Pre-A,반영,high,"2025.12 SJ투자파트너스 프리시리즈A 투자 유치 (한경 매거진 2026.2, THE VC 투자자 6개사)",https://thevc.kr/violetpay,"온라인 계좌결제 'point3' 운영, 디캠프 배치 5기 선정"
556,유동산,Seed,Seed,변경 없음,medium,"프라이머 시드팁스 데모데이 참여 등 시드 단계 확인, 이후 시리즈 라운드 보도 없음 (THE VC/프라이머)",https://thevc.kr/youdongsan,"선순위 부동산 투자자문 플랫폼, 2022.12 설립"
557,어드바이저로렌,Seed,Seed,변경 없음,high,"THE VC 기준 투자 라운드 Seed 1건(약 2024년)이 전부, 이후 신규 라운드 없음",https://thevc.kr/advisorlauren,"AI 주식투자 정보 서비스 '돌핀' 운영, 2026.3 기준 임직원 11명"
558,비트로봇,Seed,Seed,변경 없음,medium,"THE VC 기준 Seed 라운드(2018년경)가 마지막, 이후 신규 라운드 확인 안 됨",https://thevc.kr/bitrobot,"가상자산 커스터디 '커스토디움' 운영. 해외 동명 프로젝트 BitRobot(FrodoBots, $8M)와 별개 회사"
559,타임퍼센트,Seed,Seed,변경 없음,high,"2022.10 퓨처플레이·디캠프 등 11.5억 시드 유치, 2026.2 씨엔티테크 후속 투자도 시드 단계 (플래텀/와우테일)",https://wowtale.net/2026/02/12/254545/,
560,아이씨,Seed,Seed,변경 없음,low,확인 불가 (2023 TIPS 선정·디캠프 디데이 선정 외 별도 라운드 보도 없음),https://thevc.kr/aicy,AI 재무관리 솔루션 '파이넥스(finex)' 운영사
577,위즈페이스,Pre-A,Pre-A,변경 없음,medium,"2022 프리시리즈A 240만 달러(약 31억원) 유치, C3 VC 리드 (더구루); 이후 라운드 보도 없음",https://theguru.co.kr/news/article.html?no=37870,가상자산 소셜트레이딩 '리그오브트레이더스' 운영
578,모두의회계,Pre-A,Pre-A,변경 없음,medium,에버그린투자파트너스 Pre-A 투자 + TIPS 포함 약 12억원 확보 (벤처스퀘어); 이후 라운드 확인 안 됨,https://www.venturesquare.net/854792/,세금신고 서비스 '머니핀' 운영
579,네이앤컴퍼니,Pre-A,Pre-A,변경 없음,high,"THE VC 최근 단계 Pre-A (총 4건, 12억원+); 2023.4 NBH캐피탈·MYSC 8억 브릿지 투자 (플래텀)",https://thevc.kr/neincompany,대중교통 리워드 앱 '네이버스' 운영
580,오프널,Pre-A,Pre-A,변경 없음,medium,2022.8 신한캐피탈·인포뱅크 등 프리A 유치 (플래텀); 이후 신규 라운드 보도 없음,https://platum.kr/archives/190304,BNPL 서비스 '소비의미학(SSOMEE)' 운영
581,에이엠매니지먼트,Pre-A,Series A,반영,high,"2024.12 시리즈A 유치, 2025.3 루스벤처스·일본 J-CAM 시리즈A 추가 투자 (디지털데일리), 2025.9 우리금융 디노랩 펀드 투자 (와우테일)",https://www.ddaily.co.kr/page/view/2025031210452134950,퀀트 기반 디지털자산 투자솔루션 '퀀트나우'
592,에이셀테크놀로지스,M&A('21),M&A('24),반영,high,"2024.11 한경미디어그룹이 인수, 2025.1 사명 '한경에이셀'로 변경 (한국경제); 앞서 2022.8 피스컬노트 인수 완료",https://www.hankyung.com/article/2025020304371,"대체데이터 기업. 피스컬노트 인수(계약 '21.12, 완료 '22.8) 후 2024년 한경미디어그룹에 재매각"
595,코인매니저,알 수 없음,Seed,"반영(공란 채움, medium)",medium,"해시드(HASHED) 투자 유치 (라운드명 미상, 2018년경 회사 채용글 언급)",https://medium.com/coinmanager/%EC%BD%94%EC%9D%B8%EB%A7%A4%EB%8B%88%EC%A0%80-%ED%8C%80%EC%97%90%EC%84%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90%EB%A5%BC-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-3fdc4bbac183,라운드 명칭 미공개 초기(엔젤/시드성) 투자로 판단. 2024년 이후 활동 뉴스 확인 안 됨
596,이오스노드원,알 수 없음,알 수 없음,변경 없음,low,확인 불가,,EOS 블록프로듀서(노드 운영) 관련 기업으로 추정되나 투자 유치 정보 없음
597,아이벡스랩,알 수 없음,알 수 없음,변경 없음,low,확인 불가,,"이현석 대표, 직원 5명 규모(질링크스/혁신의숲 등재)이나 투자 라운드 정보 없음"
598,이노밧,알 수 없음,Seed,"반영(공란 채움, medium)",medium,"2025.9 매거진한경 인터뷰: 소수 전략적 투자자로부터 초기 투자 유치, 사우디 투자 유치 마무리 단계",https://magazine.hankyung.com/job-joy/article/202509056315d,여행객 부가세 디지털 환급 서비스. 라운드 명칭 미공개 초기 투자 → Seed로 분류
601,COOLMINT,Seed,Seed,변경 없음,low,확인 불가,,"사업자번호·웹사이트 부재로 동명이인 검증 불가, 관련 뉴스 검색 결과 없음"
602,(주)파봇,Seed,Seed,변경 없음,low,"확인 불가 (Caple·KB인베스트먼트 약 250만불, 2018 SBCN 지분투자 이력 있으나 라운드 명칭·시기 불명확)",https://thevc.kr/FABOT,로보어드바이저 플랫폼. 2024년 이후 신규 투자 보도 없음
603,거북선컴퍼니,Seed,Seed,변경 없음,medium,"투자 유치 1건, 최근 단계 Seed (THE VC/넥스트유니콘); 이후 라운드 보도 없음",https://thevc.kr/turtleship,동대문 B2B 정산 SaaS '터틀체인' 운영
604,주식회사 한국금융솔루션,M&A,M&A('21),반영,high,2021.9 클라우드 기업 깃플과 합병(현 사명 깃플); 앞서 2021.5 시리즈A 75억 클로징 (더벨),https://www.thebell.co.kr/free/content/ArticleView.asp?key=202103231246526040104849&lcode=00,대출비교 서비스 '핀셋N'. 기존 'M&A'에 연도만 보강
605,코인덱스,,알 수 없음,미반영(근거 부족),low,"확인 불가 (가상자산 지표/지수 제공 기업으로만 확인, 투자 유치 이력 미발견)",https://www.rocketpunch.com/companies/coindex,
607,디에이그라운드,Series A,Series A,변경 없음,high,"2022.6 시리즈A 25억 유치, 한국정보인증 주도 (파이낸셜뉴스/와우테일)",https://www.fnnews.com/news/202206031013321254,이후 추가 라운드 확인 안 됨
608,오픈에셋,Seed,Seed,변경 없음,high,"2024.2 시드 23억 유치, 하나벤처스·한국투자파트너스·매쉬업벤처스 참여 (플래텀)",https://platum.kr/archives/223143,
612,씨즈데이터,알 수 없음,Seed,"반영(공란 채움, medium)",medium,"THE VC 기준 최근 라운드 Seed (약 2023년, KB인베스트먼트·우리벤처파트너스 등 7개 기관), 2023 TIPS 선정",https://thevc.kr/seizedata,
613,(주)스마트포캐스트,Seed,Seed,변경 없음,low,"확인 불가 (THE VC에 투자 1건 이력만 확인, 라운드 단계·최근 유치 기사 미발견)",https://thevc.kr/SmartForecast,
617,레몬트리,Pre-A,Pre-A,변경 없음,high,"2024.7 프리시리즈A 23억 유치(카카오인베스트먼트 등), 누적 108억 (유니콘팩토리)",https://www.unicornfactory.co.kr/article/2024070911195383985,용돈관리 서비스 '퍼핀' 운영
622,브릿지코드,Series A,Series A,변경 없음,low,"확인 불가 (2년간 6회 투자 유치 언급만 확인, 최근 라운드 단계 명시 기사 미발견)",https://www.startuptoday.kr/news/articleView.html?idxno=47147,
624,로랩스,Series A,Series A,변경 없음,low,"공개 확인되는 최근 라운드는 2022.1 프리시리즈A(트랜스링크·더벤처스·스파크랩·마크앤컴퍼니, 플래텀); 시리즈A 기사 미발견",https://platum.kr/archives/179739,기록된 Series A를 뒷받침하는 공개 기사 없음 — 재확인 권장
627,고피자,Series D,Series D,변경 없음,high,"2024.6 태국 CP ALL로부터 1,000만 달러 시리즈D 유치, 누적 600억+ (더벨/THE VC)",https://thevc.kr/gopizza,
630,오늘식탁,Series B,Series B,변경 없음,high,"2021 시리즈B 120억 유치(하나벤처스 등, 플래텀)가 최종 라운드",https://platum.kr/archives/156805,"'오늘회' 운영사, 2026.2 폐업 확인"
637,메디프레소,Series A,Series A,변경 없음,high,"2023.6 로이투자파트너스로부터 시리즈A 15억 조달, 누적 약 70억 (THE VC/뉴스톱)",https://thevc.kr/medipresso,이후 크라우드펀딩 추진 언급
642,테이스팅앨범,Seed,Seed,변경 없음,low,"확인 불가 (공명파트너즈·롯데벤처스 포트폴리오로만 확인, 라운드 단계 기사 미발견)",https://thevc.kr/gongmyeongpartners,
648,달리셔스,Pre-A,Pre-A,변경 없음,medium,"씨엔티테크·로아인벤션랩·시너지아이비 등 초기(프리A) 투자 확인, 2019년 시리즈A '진행 중' 보도 이후 완료 기사 미발견 (더벨)",https://thevc.kr/daliciouscompany,커런트(커런트밀) 운영사
652,플레이팅코퍼레이션,M&A('24),M&A('24),변경 없음,high,2024 회생절차 중 푸드테크 기업구조혁신 투자조합(구름인베스트먼트)이 지분 100%를 5.4억에 인수 (유니콘팩토리),https://www.unicornfactory.co.kr/article/2024051415591684102,2024.4 회생절차 종결
656,프레시고메이,알 수 없음,알 수 없음,변경 없음,low,"확인 불가 (스마트스토어/자사몰 운영 식품 판매사로만 확인, 투자 유치 이력 미발견)",https://freshgourmet1.shop.blogpay.co.kr/,
762,메디띵스,Series A,Series A,변경 없음,high,"THE VC 기준 최근 투자 라운드 Series A (총 5건), 2023.3 카카오벤처스 등 브릿지 투자 이후 신규 라운드 확인 안 됨",https://thevc.kr/medithings,
763,삼분의일,Series A,Series A,변경 없음,medium,"2021 알토스벤처스·DSC 등 120억 시리즈A 유치 (플래텀), 이후 시리즈B 소식 없음",https://platum.kr/archives/168188,
764,알고케어,Series A,Series A,변경 없음,high,2024.3 스타셋인베스트먼트 리드 150억 시리즈A 유치 (플래텀),https://platum.kr/archives/224089,
765,프록시헬스케어,Series A,Series B,미반영(근거 부족),medium,"기업DB(THE VC/혁신의숲) 기준 2026년 현재 시리즈B까지 총 5회 투자 유치, 2022.8 82억 시리즈A 이후 라운드",https://thevc.kr/proxihealthcare,"시리즈B 금액·투자사 상세 보도 미확인, 재확인 권장"
766,이노바이드,Series A,Series B,반영,high,2026.6 SBVA 리드 120억 시리즈B 유치 (와우테일),https://wowtale.net/2026/06/23/260501/,2025.3 50억 시리즈A 후 시리즈B
784,엠지솔루션스,Seed,Seed,변경 없음,low,확인 불가,https://thevc.kr/mgsolutions,"투자 라운드 보도 없음, 2025.12 Moti Physio Med FDA 등재 등 사업은 활발"
785,똑똑의사,Seed,Seed,변경 없음,high,"THE VC 기준 현재 라운드 Seed, 투자자 1개사(프라이머)",https://thevc.kr/knockdoctor,
786,핑거앤,Seed,Seed,변경 없음,medium,"THE VC 기준 Seed 1건(2016.5)이 유일한 투자 기록, 이후 라운드 없음",https://thevc.kr/fingern,
787,헤세드릿지,Seed,Pre-A,반영,high,2025.7 마그나인베스트먼트로부터 프리A 후속 투자 유치 완료 (지디넷코리아),https://zdnet.co.kr/view/?no=20250729101534,2025.1 교보생명 전략적 투자 포함 프리A 라운드
788,브레디스헬스케어,Seed,Seed,변경 없음,medium,"2023.5 카이스트청년창업투자지주 등 시드, 2023.8~9 디캠프 등 브릿지 유치 (블로터/THE VC), 이후 신규 라운드 없음",https://thevc.kr/bredishealthcare,
789,메디노드,Seed,Seed,변경 없음,high,2024.2 엔슬파트너스 리드 시드 투자 유치 (한국경제),https://www.hankyung.com/article/202402016389i,
